Histogram calculations of histo.txt

Bin 	186	 has 	31	pixels
Bin 	187	 has 	18	pixels
Bin 	188	 has 	34	pixels
Bin 	189	 has 	30	pixels
Bin 	190	 has 	26	pixels
Bin 	191	 has 	41	pixels
Bin 	192	 has 	33	pixels
Bin 	193	 has 	24	pixels
Bin 	194	 has 	32	pixels
Bin 	195	 has 	27	pixels
Bin 	196	 has 	30	pixels
Bin 	197	 has 	37	pixels
Bin 	198	 has 	23	pixels
Bin 	199	 has 	26	pixels
Bin 	200	 has 	22	pixels
Bin 	201	 has 	24	pixels
Bin 	202	 has 	31	pixels
Bin 	203	 has 	36	pixels
Bin 	204	 has 	25	pixels
Bin 	205	 has 	31	pixels
Bin 	206	 has 	31	pixels
Bin 	207	 has 	23	pixels
Bin 	208	 has 	27	pixels
Bin 	209	 has 	25	pixels
Bin 	210	 has 	27	pixels
Bin 	211	 has 	23	pixels
Bin 	212	 has 	24	pixels
Bin 	213	 has 	19	pixels
Bin 	214	 has 	26	pixels
Bin 	215	 has 	22	pixels
Bin 	216	 has 	20	pixels
Bin 	217	 has 	22	pixels
Bin 	218	 has 	15	pixels
Bin 	219	 has 	29	pixels
Bin 	220	 has 	38	pixels
Bin 	221	 has 	38	pixels
Bin 	222	 has 	27	pixels
Bin 	223	 has 	24	pixels
Bin 	224	 has 	27	pixels
Bin 	225	 has 	33	pixels
Bin 	226	 has 	26	pixels
Bin 	227	 has 	43	pixels
Bin 	228	 has 	38	pixels
Bin 	229	 has 	39	pixels
Bin 	230	 has 	44	pixels
Bin 	231	 has 	47	pixels
Bin 	232	 has 	39	pixels
Bin 	233	 has 	62	pixels
Bin 	234	 has 	60	pixels
Bin 	235	 has 	51	pixels
Bin 	236	 has 	44	pixels
Bin 	237	 has 	53	pixels
Bin 	238	 has 	68	pixels
Bin 	239	 has 	76	pixels
Bin 	240	 has 	65	pixels
Bin 	241	 has 	42	pixels
Bin 	242	 has 	39	pixels
Bin 	243	 has 	39	pixels
Bin 	244	 has 	30	pixels
Bin 	245	 has 	26	pixels
Bin 	246	 has 	42	pixels
Bin 	247	 has 	37	pixels
Bin 	248	 has 	41	pixels
Bin 	249	 has 	36	pixels
Bin 	250	 has 	15	pixels
Bin 	251	 has 	14	pixels
Bin 	252	 has 	24	pixels
Bin 	253	 has 	24	pixels
Bin 	254	 has 	29	pixels
Bin 	255	 has 	121	pixels
